institution,latitude,longitude
Utrecht,52.0907,5.1214
Maastricht,50.8514,5.6909
Groningen,53.2194,6.5665
Rotterdam,51.9225,4.4792
Nijmegen,51.8449,5.8428
Delft,52.0116,4.3571
Eindhoven,51.4231,5.4623
