OpenAlexID,DOI,RSD UUID,type,year,author position,citations,open access,project,project type,source,title
W7061014074,null,e41ba1bb-fd41-4be5-a92a-581df537ed2d,conferencePaper,2024,first,0,true,lahter,INTERNAL,"Schnober, C, Smit, R, Kuruppath, M, Pepping, K, van Wissen, L & Petram, L 2024, Page Embeddings: Extracting and Classifying Historical Documents with Generic Vector Representations. in Proceedings of the Computational Humanities Research Conference 2024 : Aarhus, Denmark, December 4-6, 2024. vol. 3834, CEUR Workshop Proceedings, pp. 999-1011. < https://ceur-ws.org/Vol-3834/paper73.pdf >",Page Embeddings: Extracting and Classifying Historical Documents with Generic Vector Representations
W3119858127,null,896c83df-9a66-4738-aa7a-e39496da2f56,conferencePaper,2019,none,0,true,passing-xsams,INTERNAL,"TITLE=24th International Symposium on Plasma Chemistry (ISPC 24), June 9-14, 2019, Naples, Italy",Stoichiometric projection methods for plasma simulations
W3037225157,10.4230/lipics.socg.2020.78,da3e4e66-1b8c-4cf1-8c8d-ddc7dfa79437,conferencePaper,2020,none,0,true,algorithmic-geo-visualization,INTERNAL,,Hiding Sliding Cubes: Why Reconfiguring Modular Robots Is Not Easy (Media Exposition)
W3171804380,10.1109/pacificvis52677.2021.00016,80939e3f-ed02-4455-a820-41ad1feabd08,conferencePaper,2021,none,8,true,algorithmic-geo-visualization,INTERNAL,2021 IEEE 14th Pacific Visualization Symposium (PacificVis),Stable Visual Summaries for Trajectory Collections
W4288572954,10.2760/848593,a4d8ec2b-02c3-4e83-8764-16079cb0126e,conferencePaper,2019,none,21,true,high-spatial-resolution-phenological-modelling-at-continental-scales,INTERNAL,,Satellite remote sensing of ozone using a Full-Physics Inverse Learning Machine
W4402264675,10.1109/igarss53475.2024.10640587,1e6d927d-2eba-48e2-b560-47fd55c9623f,conferencePaper,2024,first,0,false,high-spatial-resolution-phenological-modelling-at-continental-scales,INTERNAL,IGARSS 2024 - 2024 IEEE International Geoscience and Remote Sensing Symposium,Using a Deployable Analysis Environment to Study Continental-Scale Phenology at High-Spatial Resolution
W3204299539,10.1109/cleo/europe-eqec52157.2021.9541628,144d1e97-7263-45f9-8421-7a386c9bbd32,conferencePaper,2021,middle,0,true,computation-of-the-optical-properties-of-nano-structures,INTERNAL,2021 Conference on Lasers and Electro-Optics Europe &amp; European Quantum Electronics Conference (CLEO/Europe-EQEC),Simulating physics of tomographically reconstructed photonic crystals
W4312757192,10.1364/bgppm.2022.jtu2a.15,ae064de8-1071-499f-bad3-1920bdea050e,conferencePaper,2022,none,0,false,computation-of-the-optical-properties-of-nano-structures,INTERNAL,Optica Advanced Photonics Congress 2022,Size-Robust Multiscale FEM for Light Propagation Through Realistic Photonic Crystals
W4386414227,10.1109/cleo/europe-eqec57999.2023.10232742,10d8076c-ef57-48f0-bfb4-b705e50d48dc,conferencePaper,2023,middle,0,true,computation-of-the-optical-properties-of-nano-structures,INTERNAL,2023 Conference on Lasers and Electro-Optics Europe &amp; European Quantum Electronics Conference (CLEO/Europe-EQEC),Computation of Optical Properties of Real Photonic Band Gap Crystals as Opposed to Utopian Ones
W3029585407,10.1109/icde48307.2020.00040,b2612daf-ce39-43ca-ab09-b620c3c33602,conferencePaper,2020,none,10,false,monitoring-tropical-forest-recovery-capacity-using-radar-sentinel-satellite-data,INTERNAL,2020 IEEE 36th International Conference on Data Engineering (ICDE),Massively-Parallel Change Detection for Satellite Time Series Data with Missing Values
W2964126646,10.1109/isbi.2019.8759281,null,conferencePaper,2019,last,8,true,null,null,2019 IEEE 16th International Symposium on Biomedical Imaging (ISBI 2019),Learning An Mr Acquisition-Invariant Representation Using Siamese Neural Networks
W3011109844,10.1109/escience.2019.00063,null,conferencePaper,2019,middle,5,false,null,null,2019 15th International Conference on eScience (eScience),Reference Exascale Architecture
W4385585415,10.1109/ipdpsw59300.2023.00124,null,conferencePaper,2023,middle,3,false,null,null,2023 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),Towards a Benchmarking Suite for Kernel Tuners
W4320062163,10.1109/eduhpc56719.2022.00011,null,conferencePaper,2022,middle,2,true,null,null,2022 IEEE/ACM International Workshop on Education for High Performance Computing (EduHPC),Lightning Talks of EduHPC 2022
W4405014297,10.1145/3636534.3696730,null,conferencePaper,2024,middle,2,true,null,null,Proceedings of the 30th Annual International Conference on Mobile Computing and Networking,An Architectural Framework for 6G Network Digital Twins System
W4242260409,10.29363/nanoge.icqd.2020.027,null,conferencePaper,2020,middle,2,true,null,null,Proceedings of the Internet Conference for Quantum Dots,Phonon-Mediated and Weakly Size-Dependent Electron and Hole Cooling in CsPbBr3 Nanocrystals Revealed by Atomistic Simulations and Ultrafast Spectroscopy
W4401966638,10.3997/2214-4609.202437086,null,conferencePaper,2024,middle,1,false,null,null,ECMOR 2024,DARTS Open-Source Reservoir Simulation Framework
W4402674073,10.1109/e-science62913.2024.10678734,null,conferencePaper,2024,last,1,false,null,null,2024 IEEE 20th International Conference on e-Science (e-Science),Processing FHIR in modern Data Lakehouse
W4385574963,10.1109/ipdpsw59300.2023.00126,null,conferencePaper,2023,first,0,false,null,null,2023 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),Kernel Launcher: C++ Library for Optimal-Performance Portable CUDA Applications
